heuristic, dimensions, error, runtime, iterations
null, 2, 0.0, 0.000546, 5
seuclidean, 2, nan, 0.001723, 7
sqeuclidean, 2, 9.07725322463e-07, 0.000476, 3
canberra, 2, 0.0, 0.000318, 2
chebyshev, 2, 0.0, 0.000267, 2
cityblock, 2, 0.0, 0.000279, 2
cosine, 2, 0.0, 0.000305, 2
euclidean, 2, 0.0, 0.000276, 2
hamming, 2, 0.0, 0.000291, 2
minkowski-0.5n, 2, 0.0, 0.000262, 2
minkowski-n, 2, 0.0, 0.000257, 2
null, 2, 0.0, 0.000194, 2
seuclidean, 2, nan, 0.002214, 12
sqeuclidean, 2, 0.0, 0.000258, 2
canberra, 2, 3.33333318281e-07, 0.00096, 5
chebyshev, 2, 4.99999970316e-07, 0.000566, 3
cityblock, 2, 6.92070926789e-07, 0.000482, 3
cosine, 2, 0.0, 0.001215, 7
euclidean, 2, 6.92070926789e-07, 0.000489, 3
hamming, 2, 4.99999970316e-07, 0.000862, 5
minkowski-0.5n, 2, 6.92070926789e-07, 0.000525, 3
minkowski-n, 2, 6.92070926789e-07, 0.000495, 3
null, 2, 0.0, 0.000754, 7
seuclidean, 2, nan, 0.001616, 7
sqeuclidean, 2, 6.92070926789e-07, 0.000467, 3
canberra, 2, 3.49999979221e-07, 0.001125, 6
chebyshev, 2, 1.49999992516e-06, 0.000713, 4
cityblock, 2, 1.49999992516e-06, 0.000707, 4
cosine, 2, 0.0, 0.002064, 10
euclidean, 2, 1.49999992516e-06, 0.000712, 4
hamming, 2, 4.99999970316e-07, 0.001338, 8
minkowski-0.5n, 2, 1.49999992516e-06, 0.000682, 4
minkowski-n, 2, 1.49999992516e-06, 0.000747, 4
null, 2, 0.0, 0.001405, 12
seuclidean, 2, nan, 0.002146, 8
sqeuclidean, 2, 2.49999985158e-06, 0.000744, 4
canberra, 2, 0.0, 0.000617, 3
chebyshev, 2, 0.0, 0.000404, 2
cityblock, 2, 0.0, 0.000409, 2
cosine, 2, 0.0, 0.001319, 7
euclidean, 2, 0.0, 0.000388, 2
hamming, 2, 0.0, 0.000697, 4
minkowski-0.5n, 2, 0.0, 0.000438, 2
minkowski-n, 2, 0.0, 0.000402, 2
null, 2, 0.0, 0.00102, 9
seuclidean, 2, nan, 0.001267, 4
sqeuclidean, 2, 0.0, 0.000421, 2
canberra, 2, 4.99999970316e-07, 0.001383, 8
chebyshev, 2, 4.99999970316e-07, 0.000941, 4
cityblock, 2, 4.99999970316e-07, 0.000612, 3
cosine, 2, 5.27863903699e-08, 0.002241, 13
euclidean, 2, 4.99999970316e-07, 0.000603, 3
hamming, 2, 2.49999999369e-07, 0.001547, 10
minkowski-0.5n, 2, 4.99999970316e-07, 0.000671, 3
minkowski-n, 2, 4.99999970316e-07, 0.000702, 3
null, 2, 0.0, 0.001375, 12
seuclidean, 2, nan, 0.001881, 7
sqeuclidean, 2, 4.99999970316e-07, 0.000634, 3
canberra, 2, 0.0, 0.000486, 2
chebyshev, 2, 0.0, 0.000438, 2
cityblock, 2, 0.0, 0.000371, 2
cosine, 2, 0.0, 0.000952, 4
euclidean, 2, 0.0, 0.000824, 2
hamming, 2, 0.0, 0.000838, 2
minkowski-0.5n, 2, 0.0, 0.000445, 2
minkowski-n, 2, 0.0, 0.000461, 2
null, 2, 0.0, 0.000456, 4
seuclidean, 2, nan, 0.002262, 12
sqeuclidean, 2, 0.0, 0.000378, 2
canberra, 2, 3.49999979221e-07, 0.001642, 9
chebyshev, 2, 1.49999992516e-06, 0.000988, 5
cityblock, 2, 1.49999992516e-06, 0.000725, 4
cosine, 2, 7.55881188752e-08, 0.002342, 12
euclidean, 2, 1.49999992516e-06, 0.000725, 4
hamming, 2, 4.99999970316e-07, 0.00145, 9
minkowski-0.5n, 2, 1.49999992516e-06, 0.000771, 4
minkowski-n, 2, 1.49999992516e-06, 0.00074, 4
null, 2, 0.0, 0.001394, 12
seuclidean, 2, nan, 0.002133, 10
sqeuclidean, 2, 2.49999988e-06, 0.000737, 4
canberra, 2, 3.33333318281e-07, 0.000938, 4
chebyshev, 2, 4.99999970316e-07, 0.000808, 4
cityblock, 2, 9.96730875613e-07, 0.000567, 3
cosine, 2, 9.99999798523e-08, 0.001584, 8
euclidean, 2, 7.07106750042e-07, 0.000626, 3
hamming, 2, 4.99999970316e-07, 0.001311, 7
minkowski-0.5n, 2, 9.96730875613e-07, 0.000583, 3
minkowski-n, 2, 7.07106750042e-07, 0.000721, 3
null, 2, 0.0, 0.001177, 10
seuclidean, 2, nan, 0.001967, 10
sqeuclidean, 2, 9.96730875613e-07, 0.000559, 3
canberra, 2, 1.66666652035e-07, 0.001108, 7
chebyshev, 2, 4.99999970316e-07, 0.000906, 5
cityblock, 2, 4.99999970316e-07, 0.000549, 3
cosine, 2, 2.56583376768e-08, 0.001589, 8
euclidean, 2, 4.99999970316e-07, 0.000943, 5
hamming, 2, 2.49999999369e-07, 0.00123, 8
minkowski-0.5n, 2, 4.99999970316e-07, 0.000603, 3
minkowski-n, 2, 4.99999970316e-07, 0.000875, 5
null, 2, 0.0, 0.00092, 8
seuclidean, 2, nan, 0.001147, 5
sqeuclidean, 2, 4.99999970316e-07, 0.000606, 3
canberra, 2, 3.33333318281e-07, 0.000761, 3
chebyshev, 2, 4.99999970316e-07, 0.000587, 3
cityblock, 2, 9.99999969054e-07, 0.000624, 3
cosine, 2, 0.0, 0.001142, 6
euclidean, 2, 7.07106750042e-07, 0.000538, 3
hamming, 2, 4.99999970316e-07, 0.000577, 3
minkowski-0.5n, 2, 9.99999969054e-07, 0.000588, 3
minkowski-n, 2, 7.07106750042e-07, 0.000574, 3
null, 2, 0.0, 0.000577, 5
seuclidean, 2, nan, 0.001609, 8
sqeuclidean, 2, 9.99999969054e-07, 0.000576, 3
canberra, 2, 4.99999970316e-07, 0.000929, 5
chebyshev, 2, 4.99999970316e-07, 0.00062, 3
cityblock, 2, 4.99999970316e-07, 0.000758, 3
cosine, 2, nan, 0.001361, 6
euclidean, 2, 4.99999970316e-07, 0.000598, 3
hamming, 2, 2.49999999369e-07, 0.001456, 9
minkowski-0.5n, 2, 4.99999970316e-07, 0.00065, 3
minkowski-n, 2, 4.99999970316e-07, 0.00064, 3
null, 2, 0.0, 0.001337, 11
seuclidean, 2, nan, 0.001722, 6
sqeuclidean, 2, 4.99999970316e-07, 0.000606, 3
canberra, 2, 0.0, 0.000443, 2
chebyshev, 2, 0.0, 0.000438, 2
cityblock, 2, 0.0, 0.000396, 2
cosine, 2, 0.0, 0.000967, 4
euclidean, 2, 0.0, 0.000485, 2
hamming, 2, 0.0, 0.000385, 2
minkowski-0.5n, 2, 0.0, 0.000419, 2
minkowski-n, 2, 0.0, 0.00044, 2
null, 2, 0.0, 0.000932, 8
seuclidean, 2, nan, 0.001224, 3
sqeuclidean, 2, 0.0, 0.000387, 2
canberra, 2, 3.33333318281e-07, 0.001238, 7
chebyshev, 2, 4.99999970316e-07, 0.000864, 4
cityblock, 2, 8.63642668492e-07, 0.000615, 3
cosine, 2, 9.99999798523e-08, 0.001703, 10
euclidean, 2, 7.07106750042e-07, 0.000888, 4
hamming, 2, 4.99999970316e-07, 0.00143, 7
minkowski-0.5n, 2, 8.63642668492e-07, 0.000664, 3
minkowski-n, 2, 7.07106750042e-07, 0.000868, 4
null, 2, 0.0, 0.001134, 10
seuclidean, 2, nan, 0.001998, 10
sqeuclidean, 2, 8.63642668492e-07, 0.000627, 3
canberra, 2, 6.99999944231e-07, 0.0025, 15
chebyshev, 2, 1.49999989674e-06, 0.001128, 5
cityblock, 2, 2.78415906507e-06, 0.000825, 4
cosine, 2, 0.0, 0.003271, 17
euclidean, 2, 2.13628696599e-06, 0.001124, 5
hamming, 2, 9.99999926421e-07, 0.002365, 15
minkowski-0.5n, 2, 2.78415906507e-06, 0.000999, 4
minkowski-n, 2, 2.13628696599e-06, 0.001007, 5
null, 2, 0.0, 0.002107, 17
seuclidean, 2, nan, 0.003078, 14
sqeuclidean, 2, 3.78415899149e-06, 0.000841, 4
canberra, 2, 1.66666652035e-07, 0.000777, 4
chebyshev, 2, 4.99999970316e-07, 0.000719, 4
cityblock, 2, 4.99999970316e-07, 0.000519, 3
cosine, 2, 0.0, 0.001506, 8
euclidean, 2, 4.99999970316e-07, 0.000755, 4
hamming, 2, 2.49999999369e-07, 0.000999, 6
minkowski-0.5n, 2, 4.99999970316e-07, 0.000536, 3
minkowski-n, 2, 4.99999970316e-07, 0.00071, 4
null, 2, 0.0, 0.001183, 10
seuclidean, 2, nan, 0.00249, 12
sqeuclidean, 2, 4.99999970316e-07, 0.000495, 3
canberra, 2, 1.66666652035e-07, 0.001484, 8
chebyshev, 2, 4.99999970316e-07, 0.000727, 4
cityblock, 2, 4.99999970316e-07, 0.00055, 3
cosine, 2, 1.76180776634e-08, 0.001688, 9
euclidean, 2, 4.99999970316e-07, 0.000535, 3
hamming, 2, 2.49999999369e-07, 0.001231, 7
minkowski-0.5n, 2, 4.99999970316e-07, 0.000626, 3
minkowski-n, 2, 4.99999970316e-07, 0.000589, 3
null, 2, 0.0, 0.001542, 13
seuclidean, 2, nan, 0.00203, 8
sqeuclidean, 2, 4.99999970316e-07, 0.000558, 3
canberra, 2, 0.0, 0.000611, 3
chebyshev, 2, 0.0, 0.000327, 2
cityblock, 2, 0.0, 0.000303, 2
cosine, 2, 0.0, 0.001004, 5
euclidean, 2, 0.0, 0.000395, 2
hamming, 2, 0.0, 0.000555, 3
minkowski-0.5n, 2, 0.0, 0.000338, 2
minkowski-n, 2, 0.0, 0.000368, 2
null, 2, 0.0, 0.000703, 6
seuclidean, 2, nan, 0.000856, 3
sqeuclidean, 2, 0.0, 0.000436, 2
canberra, 2, 5.30931984599e-07, 0.001021, 5
chebyshev, 2, 4.99999970316e-07, 0.000792, 4
cityblock, 2, 5.30931984599e-07, 0.000665, 3
cosine, 2, 5.27863903699e-08, 0.001457, 7
euclidean, 2, 5.30931984599e-07, 0.000646, 3
hamming, 2, 4.99999970316e-07, 0.001198, 7
minkowski-0.5n, 2, 5.30931984599e-07, 0.000692, 3
minkowski-n, 2, 5.30931984599e-07, 0.000675, 3
null, 2, 0.0, 0.000921, 8
seuclidean, 2, nan, 0.001876, 8
sqeuclidean, 2, 5.30931984599e-07, 0.000605, 3
canberra, 2, 6.66666636562e-07, 0.001229, 8
chebyshev, 2, 4.99999970316e-07, 0.000957, 5
cityblock, 2, 9.99999954843e-07, 0.000738, 3
cosine, 2, 1.46446609506e-07, 0.001589, 10
euclidean, 2, 7.07106750042e-07, 0.000865, 5
hamming, 2, 4.99999970316e-07, 0.001419, 10
minkowski-0.5n, 2, 9.99999954843e-07, 0.000597, 3
minkowski-n, 2, 7.07106750042e-07, 0.000939, 5
null, 2, 0.0, 0.00113, 10
seuclidean, 2, nan, 0.001914, 10
sqeuclidean, 2, 9.99999954843e-07, 0.000699, 3
canberra, 2, 5.99999964379e-07, 0.001287, 7
chebyshev, 2, 4.99999970316e-07, 0.000813, 4
cityblock, 2, 9.99999954843e-07, 0.000612, 3
cosine, 2, 5.27863903699e-08, 0.001852, 11
euclidean, 2, 7.07106750042e-07, 0.000754, 4
hamming, 2, 4.99999970316e-07, 0.001577, 9
minkowski-0.5n, 2, 9.99999954843e-07, 0.000742, 3
minkowski-n, 2, 7.07106750042e-07, 0.000814, 4
null, 2, 0.0, 0.001321, 12
seuclidean, 2, nan, 0.001822, 8
sqeuclidean, 2, 9.99999954843e-07, 0.000603, 3
canberra, 2, 2.66666660309e-07, 0.001336, 6
chebyshev, 2, 4.99999970316e-07, 0.000873, 4
cityblock, 2, 9.99999969054e-07, 0.000622, 3
cosine, 2, 3.86104659356e-09, 0.002051, 11
euclidean, 2, 7.07106750042e-07, 0.000606, 3
hamming, 2, 4.99999970316e-07, 0.002133, 8
minkowski-0.5n, 2, 9.99999969054e-07, 0.000902, 3
minkowski-n, 2, 7.07106750042e-07, 0.000676, 3
null, 2, 0.0, 0.001445, 11
seuclidean, 2, nan, 0.002171, 8
sqeuclidean, 2, 9.99999969054e-07, 0.00066, 3
canberra, 2, 1.0999999347e-06, 0.001959, 11
chebyshev, 2, 1.49999989674e-06, 0.001554, 8
cityblock, 2, 2.16087666161e-06, 0.001352, 7
cosine, 2, 1.36761244107e-07, 0.002887, 15
euclidean, 2, 1.61803387755e-06, 0.001551, 8
hamming, 2, 7.49999955474e-07, 0.002389, 14
