minkowski-n, 6, 2.42971365907e-05, 0.236637, 7
seuclidean, 6, 1.04972094306e-05, 6.188681, 153
sqeuclidean, 6, 0.00119346823078, 0.209117, 6
canberra, 6, 0.0, 0.305986, 11
chebyshev, 6, 1.81328593669e-05, 0.2248, 7
cityblock, 6, 0.000169406353507, 0.191296, 6
cosine, 6, nan, 68.388367, 100
euclidean, 6, 5.84647533941e-05, 0.206389, 6
minkowski-0.5n, 6, 3.76727754059e-05, 0.335594, 6
minkowski-n, 6, 2.31083467952e-05, 0.197701, 6
seuclidean, 6, 1.46287203933e-05, 9.449787, 242
sqeuclidean, 6, 0.0011975578073, 0.234313, 6
canberra, 6, 0.0, 0.315355, 11
chebyshev, 6, 1.37462778014e-05, 0.218061, 8
cityblock, 6, 0.000177125415377, 0.23852, 7
cosine, 6, nan, 227.987165, 176
euclidean, 6, 6.03975881575e-05, 0.236707, 7
minkowski-0.5n, 6, 3.22020160297e-05, 0.241956, 7
minkowski-n, 6, 6.33895018609e-06, 0.228458, 7
seuclidean, 6, 3.37990545063e-06, 7.17725, 168
sqeuclidean, 6, 0.00119365241464, 0.243532, 6
canberra, 6, 0.0, 0.347207, 16
chebyshev, 6, 8.20192209972e-06, 0.237024, 7
cityblock, 6, 0.000165408019569, 0.189765, 6
cosine, 6, nan, 28.986456, 77
euclidean, 6, 6.15236694301e-05, 0.241316, 7
minkowski-0.5n, 6, 4.02994241711e-05, 0.319698, 7
minkowski-n, 6, 2.84223053342e-05, 0.253835, 7
seuclidean, 6, 7.77728918422e-06, 2.546521, 61
sqeuclidean, 6, 0.00119623247204, 0.216135, 6
canberra, 6, 0.0, 0.37117, 13
chebyshev, 6, 8.19551999598e-06, 0.239156, 7
cityblock, 6, 0.00015863438405, 0.194432, 6
cosine, 6, nan, 1.226232, 19
euclidean, 6, 3.00223884437e-05, 0.197981, 6
minkowski-0.5n, 6, 3.29889084867e-05, 0.238948, 7
minkowski-n, 6, 1.69805438759e-05, 0.236714, 7
seuclidean, 6, 1.67233383621e-05, 6.835756, 192
sqeuclidean, 6, 0.00118601954733, 0.221687, 6
canberra, 6, 0.0, 0.297482, 12
chebyshev, 6, 2.41673694461e-05, 0.218351, 8
cityblock, 6, 0.000172727316567, 0.19972, 6
cosine, 6, nan, 49.34046, 104
euclidean, 6, 4.68435595167e-05, 0.19967, 7
minkowski-0.5n, 6, 4.99825895162e-05, 0.228305, 7
minkowski-n, 6, 3.31408105581e-05, 0.213128, 7
seuclidean, 6, 1.85841694673e-05, 5.732093, 151
sqeuclidean, 6, 0.00120325188675, 0.24564, 6
canberra, 6, 0.0, 0.330794, 15
chebyshev, 6, 1.9437730586e-05, 0.22966, 8
cityblock, 6, 0.000185242039024, 0.225071, 7
cosine, 6, nan, 24.253681, 64
euclidean, 6, 6.17155603351e-05, 0.20674, 7
minkowski-0.5n, 6, 3.98939633328e-05, 0.219904, 7
minkowski-n, 6, 2.7545638531e-05, 0.219149, 7
seuclidean, 6, 1.86172640895e-05, 7.645691, 224
sqeuclidean, 6, 0.00120148698038, 0.213434, 6
canberra, 6, 0.0, 0.30655, 11
chebyshev, 6, 1.13816642937e-05, 0.212708, 7
cityblock, 6, 0.000166069631518, 0.202279, 6
cosine, 6, nan, 99.557678, 94
euclidean, 6, 6.66069156239e-05, 0.224166, 7
minkowski-0.5n, 6, 4.12263605938e-05, 0.219253, 7
minkowski-n, 6, 2.49553644238e-05, 0.215091, 7
seuclidean, 6, 1.75098805073e-05, 6.886428, 199
sqeuclidean, 6, 0.00119074354174, 0.256248, 6
canberra, 6, 0.0, 0.301034, 11
chebyshev, 6, 1.81705502484e-05, 0.384327, 8
cityblock, 6, 0.000182396490089, 0.229157, 7
cosine, 6, nan, 40.271704, 77
euclidean, 6, 3.33776010848e-05, 0.217102, 6
minkowski-0.5n, 6, 1.87967700498e-05, 0.238476, 6
minkowski-n, 6, 8.1128968219e-06, 0.251815, 6
seuclidean, 6, 1.8130065186e-05, 8.119096, 166
sqeuclidean, 6, 0.0012018178878, 0.220922, 6
canberra, 6, 0.0, 0.285665, 10
chebyshev, 6, 1.90940801872e-05, 0.210011, 7
cityblock, 6, 0.000173215867804, 0.187775, 6
cosine, 6, nan, 6.386913, 49
euclidean, 6, 7.28721913532e-05, 0.229111, 7
minkowski-0.5n, 6, 5.45314962039e-05, 0.298733, 8
minkowski-n, 6, 3.63279290667e-05, 0.273411, 8
seuclidean, 6, 2.66524425854e-05, 4.006579, 105
sqeuclidean, 6, 0.00120231445071, 0.20986, 6
canberra, 7, 0.0, 0.952311, 11
chebyshev, 7, 3.41571504237e-06, 0.663222, 7
cityblock, 7, 0.000183566323742, 0.587878, 6
cosine, 7, nan, 869.13883, 114
euclidean, 7, 5.49770263092e-05, 2.047179, 7
minkowski-0.5n, 7, 3.04869441266e-05, 0.726076, 7
minkowski-n, 7, 1.10283475721e-05, 0.758245, 7
seuclidean, 7, 1.17134199513e-05, 12.721404, 100
sqeuclidean, 7, 0.00138645850598, 0.590895, 6
canberra, 7, 0.0, 0.790105, 11
chebyshev, 7, 7.33797324415e-06, 0.581535, 7
cityblock, 7, 0.000189407004797, 0.584183, 6
cosine, 7, nan, 549.758856, 86
euclidean, 7, 6.49408757454e-05, 0.736662, 7
minkowski-0.5n, 7, 3.82228105593e-05, 0.71316, 7
minkowski-n, 7, 1.73998727035e-05, 0.638552, 7
seuclidean, 7, 1.19758301764e-05, 34.596056, 283
sqeuclidean, 7, 0.00138908520853, 0.663562, 6
canberra, 7, 0.0, 1.272623, 11
chebyshev, 7, 1.59493794172e-07, 0.635176, 7
cityblock, 7, 0.000196481653674, 1.094285, 7
cosine, 7, nan, 426.679357, 78
euclidean, 7, 4.89825288383e-05, 0.680311, 7
minkowski-0.5n, 7, 2.39599412311e-05, 0.741541, 7
minkowski-n, 7, 8.20252357414e-06, 0.681285, 7
seuclidean, 7, 2.17146420454e-05, 42.487967, 350
sqeuclidean, 7, 0.00138223771862, 0.716914, 6
canberra, 7, 0.0, 7.519167, 26
chebyshev, 7, 3.0475157331e-06, 0.701178, 6
cityblock, 7, 0.000174452130892, 0.633296, 6
cosine, 7, nan, 462.626023, 85
